"","x","y","id"
"1",282.779396210649,14.6850018489232,1
"2",309.873127166101,36.3599882432439,1
"3",331.548113560422,66.1630940260726,1
"4",336.966860159002,87.8380804203933,1
"5",347.804353356162,106.803693006062,1
"6",345.094980566235,133.897425998963,1
"7",364.060593151903,155.572411374559,1
"8",369.479339750483,185.375517157388,1
"9",385.735579546224,223.306743347449,1
"10",393.863698934732,253.109849130277,1
"11",401.99181832324,280.203582123178,1
"12",410.119938730472,307.297315116079,1
"13",412.8293115204,339.809793688836,1
"14",429.085551316141,383.159766477477,1
"15",442.632417303229,418.381618858886,1
"16",464.307403697549,456.312844030223,1
"17",480.56364349329,491.534696411632,1
"18",504.948002677539,518.628429404533,1
"19",526.622989071859,548.431534168637,1
"20",548.29797546618,572.815893352885,1
"21",569.972960841776,597.200253555858,1
"22",586.229200637517,618.875238931455,1
"23",580.810454038937,651.387718522936,1
"24",578.101081249009,686.609570904345,1
"25",572.682334650428,735.378289272842,1
"26",542.8792288676,781.437634851411,1
"27",523.913615263207,846.462594034373,1
"28",496.81988328903,914.196924988539,1
"29",467.016777506202,971.093763764268,1
"30",450.760537710461,998.187496757169,1
"31",437.213670704649,1017.15310934284,1
"32",401.99181832324,1017.15310934284,1
"33",369.479339750483,1027.99060254,1
"34",345.094980566235,1030.69997532993,1
"35",309.873127166101,1022.57185594142,1
"36",274.651275803417,995.478122948517,1
"37",242.13879723066,968.38439097434,1
"38",220.463810836339,946.70940458002,1
"39",193.370077843439,925.034418185699,1
"40",166.276345869262,906.06880560003,1
"41",141.891985666289,884.39381920571,1
"42",125.635746889273,876.265699817202,1
"43",93.123267297792,868.137579409969,1
"44",82.2857741006317,846.462594034373,1
"45",63.3201615149633,805.821995054384,1
"46",49.7732955278751,765.181396074395,1
"47",33.5170557321346,751.634529068582,1
"48",22.6795625349742,724.540797094406,1
"49",36.2264285220625,692.028317502925,1
"50",57.9014149163831,656.806465121516,1
"51",68.7389081135435,632.422105937267,1
"52",79.5764013107038,599.909626345786,1
"53",87.7045206992119,572.815893352885,1
"54",112.08887988346,545.722161378709,1
"55",125.635746889273,526.756547774316,1
"56",133.763866277781,491.534696411632,1
"57",150.020106073522,459.022217838875,1
"58",166.276345869262,431.928484845974,1
"59",177.113838047698,393.997258655913,1
"60",187.951331244858,353.356659675924,1
"61",196.079451652091,310.006687906007,1
"62",201.498198250671,269.366088926018,1
"63",201.498198250671,204.34113076178,1
"64",190.660705053511,185.375517157388,1
"65",185.241958454931,152.863038584631,1
"66",182.532584646278,106.803693006062,1
"67",193.370077843439,63.4537202174204,1
"68",223.173183626267,33.6506144345916,1
"69",255.685663217748,11.9756290589953,1
"70",196.079451652091,534.884668181549,2
"71",155.438852672102,556.559654575869,2
"72",128.345119679201,570.106520562958,2
"73",112.08887988346,597.200253555858,2
"74",103.960760494952,637.840852535847,2
"75",98.5420138963722,675.772077707184,2
"76",98.5420138963722,697.447064101505,2
"77",90.4138945078641,719.122050495826,2
"78",98.5420138963722,738.087663081494,2
"79",109.379507093533,757.053275667162,2
"80",144.601359474941,773.309515462903,2
"81",171.695092467842,781.437634851411,2
"82",206.916944849251,765.181396074395,2
"83",225.88255743492,746.215782470002,2
"84",258.395037026401,727.250169884334,2
"85",288.198142809229,700.156436891433,2
"86",307.163754376173,673.062704917256,2
"87",312.582500974754,643.259599134428,2
"88",315.291873764681,608.037745734294,2
"89",312.582500974754,580.944013760118,2
"90",301.745008796318,559.269027365797,2
"91",274.651275803417,543.012787570057,2
"92",236.72005063208,532.175294372896,2
